resp_id,gold_category
R0341,JOB
R0557,JOB
R0181,SURV
R0368,JOB
R0562,REL
R0765,AMBIG
R0025,SKILL
R0379,REL
R0390,JOB
R0788,SURV
R0017,REL
R0456,FAIR
R1143,FAIR
R0163,JOB
R0658,FAIR
R0134,REL
R0136,REL
R0820,FAIR
R1064,NOCONCERN
R0009,SKILL
R0451,JOB
R1125,FAIR
R0124,JOB
R0434,JOB
R0507,SKILL
R0650,REL
R0822,JOB
R0015,REL
R0366,JOB
R0355,JOB
R1052,REL
R0409,NOCONCERN
R0046,REL
R1114,SURV
R0406,SKILL
R0156,REL
R0417,REL
R0468,FAIR
R0526,SKILL
R1130,SURV
R0564,REL
R0972,JOB
R0056,SKILL
R0714,JOB
R1176,JOB
R0082,JOB
R0050,SURV
R0454,NOCONCERN
R0574,AMBIG
R0890,SURV
R0063,JOB
R1025,REL
R0249,JOB
R0877,REL
R0293,FAIR
R1076,FAIR
R0627,FAIR
R0221,REL
R1093,JOB
R1107,FAIR
R0177,SURV
R0944,FAIR
R1172,FAIR
R0887,AMBIG
R0103,JOB
R0892,NOCONCERN
R0458,JOB
R0138,REL
R1090,REL
R0258,REL
R1154,NOCONCERN
R0619,REL
R0001,SKILL
R0261,SURV
R0352,FAIR
R0423,REL
R0609,FAIR
R0044,FAIR
R0932,SKILL
R0754,REL
R0649,SKILL
R0984,REL
R0672,REL
R1098,JOB
R0020,FAIR
R0245,SKILL
R0377,SURV
R0464,JOB
R0654,SKILL
R1091,SURV
R0837,REL
R0500,NOCONCERN
R1148,FAIR
R0470,FAIR
R0375,SURV
R0883,FAIR
R0996,FAIR
R0809,FAIR
R0525,REL
R0212,JOB
R0334,JOB
R0203,SKILL
R0155,REL
R0597,SKILL
R0874,FAIR
R0382,NOCONCERN
R0639,REL
R0115,FAIR
R1166,FAIR
R0895,JOB
R0022,JOB
R0305,SURV
R0856,JOB
R0544,REL
R1081,REL
R0343,JOB
R0318,JOB
R0160,SURV
R0206,SKILL
R0356,FAIR
R0487,FAIR
R1014,JOB
R0962,SKILL
R1174,SURV
R1162,REL
R0433,SKILL
R0567,JOB
R0719,REL
R0445,FAIR
R0914,SKILL
R0998,JOB
R1019,SURV
R0961,SKILL
R0907,REL
R0891,SKILL
R0853,REL
R1115,REL
R0473,SURV
R0919,SKILL
R0227,NOCONCERN
R0435,REL
R0586,SKILL
R0740,SKILL
R0539,SURV
R1118,SURV
R0660,NOCONCERN
R0457,NOCONCERN
R1055,SKILL
R0795,REL
R0730,FAIR
R0831,SKILL
R0911,SKILL
R0845,REL
R0760,SKILL
R0669,NOCONCERN
R0906,SKILL
R0040,NOCONCERN
R0816,FAIR
R0786,SURV
R0475,REL
R0548,SURV
R0350,AMBIG
R1071,FAIR
R0171,SKILL
R0174,NOCONCERN
R0118,SKILL
R0267,FAIR
R0549,JOB
R0064,REL
R1110,REL
R1089,SKILL
R0494,SKILL
R0484,SKILL
R0630,JOB
R0994,SKILL
R0231,REL
R1010,AMBIG
R0374,FAIR
R0147,SKILL
R1070,SKILL
R0346,AMBIG
R0703,JOB
R0966,REL
R1066,SURV
R0127,FAIR
R0339,SKILL
R1151,JOB
R1039,FAIR
R0803,JOB
R0262,JOB
R1002,SURV
R1077,FAIR
R0097,REL
R0110,SKILL
R1042,REL
R0527,AMBIG
R0158,JOB
R0172,JOB
R0876,FAIR
R1141,JOB
